[2025-12-24T22:10:33.184Z] 🧹 Cleanup starting (cutoff 2025-11-24T22:10:33.183Z)
[2025-12-24T22:10:33.192Z] ✅ Cleanup completed: 0 reports deleted
[2025-12-24T22:11:52.828Z] [Cleanup Job] Manual trigger at 2025-12-24T22:11:52.827Z
[2025-12-24T22:11:52.828Z] 🧹 Cleanup starting (cutoff 2025-11-24T22:11:52.828Z)
[2025-12-24T22:11:52.830Z] ✅ Cleanup completed: 0 reports deleted
[2025-12-30T05:36:06.631Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-30T05:37:14.623Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-30T05:37:35.302Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-30T05:37:45.400Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-30T05:38:45.508Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-30T05:39:45.031Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-30T05:40:01.644Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-30T05:41:15.515Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-30T05:56:33.437Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-30T05:56:49.908Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-30T05:57:04.113Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-30T05:58:09.184Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-30T06:04:51.740Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-30T06:06:20.383Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-30T06:06:35.349Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-30T06:06:41.049Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-30T06:06:47.094Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-30T06:07:08.250Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-30T06:07:13.174Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-30T06:09:12.219Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-30T06:10:46.884Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-30T06:11:42.165Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-30T06:12:13.651Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-30T06:19:23.513Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-30T07:01:51.931Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-30T07:25:48.742Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-30T17:06:00.609Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-30T17:09:01.939Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-30T17:09:12.699Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-30T17:09:36.348Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-30T18:00:00.038Z] [Cleanup Job] Triggered at 2025-12-30T18:00:00.038Z
[2025-12-30T18:00:00.043Z] 🧹 Cleanup starting (cutoff 2025-11-30T18:00:00.043Z)
[2025-12-30T18:00:00.063Z] ✅ Cleanup completed: 0 reports deleted
[2025-12-30T18:38:32.869Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-30T18:40:01.321Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-30T18:42:14.134Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-30T18:42:25.637Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-30T18:42:32.924Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-30T18:43:56.567Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-30T18:44:02.012Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-30T18:44:06.381Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-30T18:51:29.026Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-30T19:27:25.168Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-30T19:40:48.864Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-30T19:41:25.414Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-30T20:33:44.283Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-30T20:43:16.423Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-30T20:43:25.456Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-30T20:44:35.344Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-30T20:45:41.723Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-30T20:50:02.136Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-30T23:30:24.212Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-30T23:30:29.085Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-30T23:30:52.123Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
